codlog;tipo;titulo;preposicao;nome;cep
72827;TV; ; ;ESTRELA ALFA DO CRUZEIRO;02471-000
72828;PC; ; ;RIBEIRA DAS NAUS;02969-000
72829;PC; ; ;AMARAJI D'AGUA;08080-000
72830;PC; ; ;ANTONIO FILINTO;03553-000
72832;PC; ; ;SETE;00000-000
72834;PC; ; ;HERCILIOPOLIS;05867-000
72835;R;DR; ;JOAO INACIO TEIXEIRA;03181-000
72837;R; ; ;KANDINSKY;04174-000
72838;R; ; ;CARLOS AUGUSTO CARTEIRO;04165-000
72841;R; ; ;JOSE GONCALVES GALEAO;03227-000
72844;R; ; ;ATAUALPA;02181-000
72845;R; ; ;SETE (P. NOVO MUNDO-V MA);02190-000
72847;R; ; ;GERALDO ALVES DE ANDRADE;02223-000
72848;R; ; ;CANINDE-ACU;02277-000
72849;R;EMB; ;NABUCO DE GOUVEIA;02219-000
72850;R; ; ;FRANCISCO ATAIDE;02418-000
72853;R; ; ;PEDRANOPOLIS;02068-000
72854;R; ; ;RIACHO DAS ALMAS;02032-000
72855;R; ; ;JACAREPAGUA;02066-000
72857;R; ; ;SETE (S. DO MANDAQUI-C VER);00000-000
72858;TV; ; ;PRECIOSA;02441-000
72859;R; ; ;SERGIO TADEU CORTICEIRO;02759-000
72860;R; ; ;JOAO LOUREIRO;02752-000
72861;R; ; ;GINO MAZONE;02962-000
72863;R; ; ;MANUEL OLIVA DE ANDRADE SILVA;05135-000
72864;R; ; ;JOSE DE FIGUEIREDO;05140-000
72866;R; ; ;ADOLFO DE SOUZA CARNEIRO;05128-000
72867;R; ; ;CANTO DA VOLTA;05338-000
72869;R; ; ;MARIA DO CARMO MARIALVA ARANHA;05118-000
72870;R; ; ;SETE (J. UNIVERSIDADE-LAPA);00000-000
72871;R; ; ;MARIA BURGUETA M. PESTANA;05587-000
72872;R; ; ;JACUNDA;05679-000
72873;R; ; ;ROSA GAETA LAZARA;04570-000
72875;R; ; ;JOSE RODRIGUES CARDEAL;05723-000
72877;R; ; ;JOSE BENEDITO SALINAS;04674-000
72878;R; ; ;ARLINDO VEIGA DOS SANTOS;04671-000
72879;R; ; ;GERALDO PACHECO VALENTE;04693-000
72880;R; ; ;SOLAR DOS QUEVEDOS;05814-000
72881;R; ; ;JOSE EUGENIO PADOAN;04926-000
72882;R; ; ;CIRIACO;04921-000
72884;R; ; ;ISE;04913-000
72890;R; ; ;ALTA MOGIANA;05159-000
72891;R; ; ;PEDRO DE VELASCO;02808-000
72892;R; ; ;JOSE DA SILVA CALDEIRA;02806-000
72893;R; ; ;TRISTAO TEIXEIRA;02811-000
72894;R; ; ;ANTONIO PINTO E SILVA;02957-000
72896;R; ; ;LUANDA;02864-000
72898;R; ; ;SETE (J. STA ANGELA-NSRAO);00000-000
72899;R; ;DOS;MORGADOS;02832-000
72900;R; ; ;FUTURISMO;02842-000
72901;R; ; ;JOSE ROBERTO VASCONCELOS;02805-000
72902;R; ; ;BARRA BABITONGA;02672-000
72903;R; ; ;TEODORO LANHOSO;02355-000
72904;R; ; ;JACINTO;02353-000
72905;R; ; ;ANTONIO GUALTER;02354-000
72906;R; ; ;PEJUCARA;02318-000
72907;R;DR; ;SAUL DE CAMARGO NEVES;03755-000
72910;R; ; ;ANTONIO CARLOS LAMEGO;03807-000
